Id;Lesson;Vocabulary;Pronunciation;EnglishDef;PersianDef;Learned;Bookmarked
50;5;Rural;[ru·ral || 'rʊrəl /'rʊərəl];in the country;روستایی;0;0
51;5;Burden;[bur·den || bɜːdn];"what is carried; a load";آنچه حمل می شود ، بار;0;0
52;5;Campus;[cam·pus || 'kæmpəs];grounds of a college, university, or school;محوطه ی یک دانشکده ، دانشکده یا مدرسه;0;0
53;5;Majority;[ma·jor·i·ty || mə'dʒɒrətɪ /-'dʒɒr-];"the larger number; greater part; more than half";تعداد بیشتر ، قسمت عمده ، بیش از نیم ، اکثریت;0;0
54;5;Assemble;[as·sem·ble || ə'sembl];"gather together; bring together";گرد آمدن ، جمع آوری کردن;0;0
55;5;Explore;[ex·plore || ɪk'splɔː];"go over carefully; look into closely; examine";سیاحت کردن ، اکتشاف کردن ، بررسی کردن;0;0
56;5;Topic;[top·ic || 'tɑpɪk /'tɒp-];subject that people think, write, or talk about;موضوعی که مردم درباره ی آن فکر می کنند ، می نویسند وی اصحبت می کنند ، مبحث;0;0
57;5;Debate;[de·bate || dɪ'beɪt];a discussion in which reasons for and against something are brought out;بحثی که در آن دلایل موافق و مخالف چیزی مطرح می شود;0;0
58;5;Evade;[e·vade || ɪ'veɪd];get away from by trickery or cleverness;با کلک یا زرنگی از چیزی دور شدن;0;0
59;5;Probe;[prəʊb];"search into; examine thoroughly; investigate";کاوش کردن ، کاملاً برررسی کردن ، تحقیق کردن;0;0
60;5;Reform;[re·form || rɪ'fɔrm /-'fɔːm];"make better; improve by removing faults";بهتر کردن ، با رفع اشکالات بهبود بخشیدن;0;0
61;6;Approach;[ap·proach || ə'prəʊtʃ];come near or nearer to;نزدیک شدن به;0;0
62;6;Detect;[de·tect || dɪ'tekt];"find out; discover";پی بردن ، کشف کردن;0;0
63;26;Possible;[pos·si·ble || 'pɑsəbl /'pɒ-];"able to be, be done, or happen; able to be true; able to be done or chosen properly";ممکن ، مقدور ، میسر;0;0
64;26;Compel;[com·pel || kəm'pel];"force; get by force";مجبور کردن ، به زور وادار کردن;0;0
65;6;Defect;[de·fect || 'diːfekt];"fault; that which is wrong";عیب ، نقص;0;0
66;6;Employee;[emˈploi-ē];a person who works for pay;شخصی که در ازای مزد کار می کند ، کارمند;0;0
67;6;Neglect;[neg·lect || nɪ'glekt];give too little care or attention to;خیلی کم اهمیت دادن یا توجه کردن به;0;0
68;6;Deceive;[de·ceive || dɪ'siːv];"make someone believe as true something that is false; mislead";شخصی را وادار به باور چیزی دروغ کردن ، گمراه کردن;0;0
69;6;Undoubtedly;[un'doubt·ed·ly || ʌn'daʊtɪdlɪ];"certainly; beyond doubt";قطعاً ، بدون شک;0;0
70;6;Popular;[pop·u·lar || 'pɑpjələ(r) / 'pɒpjʊl-];liked by most people;محبوب اکثر مردم ، پرطرفدار;0;0
71;6;Thorough;[thor·ough || 'θɜrəʊ /'θʌrə];"being all that is needed; complete";کامل ، جامع;0;0
